wave,flux
0.603108,0.076097
0.604550,0.077645
0.606002,0.078787
0.607464,0.079409
0.608936,0.079536
0.610418,0.079296
0.611910,0.078891
0.613412,0.078576
0.614925,0.078586
0.616448,0.079013
0.617982,0.079717
0.619527,0.080405
0.621083,0.080849
0.622649,0.081071
0.624227,0.081287
0.625816,0.081675
0.627416,0.082224
0.629027,0.082773
0.630651,0.083222
0.632285,0.083610
0.633932,0.084029
0.635591,0.084508
0.637261,0.085040
0.638944,0.085461
0.640639,0.085798
0.642347,0.086081
0.644067,0.086340
0.645800,0.086580
0.647546,0.086759
0.649305,0.086775
0.651077,0.086509
0.652862,0.085972
0.654660,0.085436
0.656473,0.085318
0.658299,0.085824
0.660138,0.086762
0.661992,0.087722
0.663860,0.088397
0.665742,0.088723
0.667639,0.088786
0.669551,0.088702
0.671477,0.088550
0.673418,0.088376
0.675375,0.088191
0.677346,0.087992
0.679334,0.087788
0.681337,0.087606
0.683355,0.087494
0.685390,0.087481
0.687441,0.087552
0.689508,0.087651
0.691592,0.087716
0.693692,0.087716
0.695809,0.087656
0.697944,0.087574
0.700096,0.087530
0.702265,0.087568
0.704452,0.087676
0.706657,0.087780
0.708879,0.087793
0.711120,0.087677
0.713380,0.087477
0.715658,0.087304
0.717956,0.087273
0.720272,0.087432
0.722607,0.087727
0.724963,0.088049
0.727337,0.088320
0.729732,0.088520
0.732147,0.088645
0.734583,0.088680
0.737039,0.088649
0.739516,0.088647
0.742014,0.088786
0.744533,0.089105
0.747074,0.089544
0.749637,0.090002
0.752221,0.090402
0.754828,0.090706
0.757458,0.090910
0.760110,0.091026
0.762786,0.091093
0.765484,0.091162
0.768206,0.091293
0.770952,0.091525
0.773722,0.091850
0.776516,0.092217
0.779335,0.092553
0.782178,0.092793
0.785047,0.092910
0.787941,0.092930
0.790860,0.092927
0.793805,0.092983
0.796777,0.093133
0.799775,0.093331
0.802799,0.093530
0.805850,0.093685
0.808929,0.093778
0.812035,0.093788
0.815168,0.093724
0.818330,0.093648
0.821520,0.093636
0.824739,0.093706
0.827986,0.093808
0.831262,0.093874
0.834568,0.093847
0.837903,0.093648
0.841269,0.093183
0.844664,0.092431
0.848090,0.091555
0.851547,0.090845
0.855034,0.090522
0.858553,0.090569
0.862103,0.090843
0.865686,0.091258
0.869300,0.091808
0.872946,0.092451
0.876625,0.093081
0.880337,0.093613
0.884082,0.094030
0.887860,0.094343
0.891672,0.094541
0.895517,0.094622
0.899396,0.094628
0.903310,0.094624
0.907258,0.094642
0.911241,0.094656
0.915259,0.094649
0.919311,0.094648
0.923399,0.094729
0.927523,0.094915
0.931682,0.095145
0.935877,0.095340
0.940109,0.095477
0.944376,0.095586
0.948680,0.095698
0.953020,0.095831
0.957397,0.095995
0.961810,0.096193
0.966261,0.096414
0.970749,0.096634
0.975273,0.096830
0.979835,0.096981
0.984435,0.097073
0.989071,0.097088
0.993745,0.097010
0.998457,0.096853
1.003206,0.096671
1.007992,0.096527
1.012817,0.096455
1.017678,0.096441
1.022578,0.096447
1.027514,0.096439
1.032488,0.096408
1.037500,0.096371
1.042549,0.096345
1.047635,0.096329
1.052758,0.096330
1.057919,0.096421
1.063116,0.096745
1.068350,0.097407
1.073620,0.098282
1.078927,0.098980
1.084271,0.099108
1.089650,0.098636
1.095065,0.097935
1.100516,0.097444
1.106001,0.097338
1.111522,0.097513
1.117078,0.097779
1.122668,0.098031
1.128293,0.098262
1.133951,0.098506
1.139643,0.098773
1.145368,0.099017
1.151125,0.099180
1.156915,0.099231
1.162737,0.099186
1.168591,0.099078
1.174476,0.098931
1.180391,0.098755
1.186337,0.098568
1.192313,0.098406
1.198318,0.098323
1.204351,0.098365
1.210414,0.098531
1.216504,0.098756
1.222621,0.098955
1.228766,0.099077
1.234936,0.099122
1.241132,0.099122
1.247354,0.099099
1.253600,0.099048
1.259871,0.098949
1.266165,0.098795
1.272482,0.098628
1.278821,0.098547
1.285182,0.098640
1.291565,0.098909
1.297968,0.099259
1.304391,0.099587
1.310834,0.099854
1.317295,0.100081
1.323775,0.100304
1.330272,0.100534
1.336787,0.100756
1.343318,0.100945
1.349865,0.101089
1.356428,0.101204
1.363005,0.101324
1.369596,0.101476
1.376201,0.101660
1.382819,0.101844
1.389449,0.101982
1.396091,0.102042
1.402744,0.102021
1.409409,0.101941
1.416083,0.101845
1.422766,0.101778
1.429459,0.101774
1.436160,0.101841
1.442870,0.101961
1.449586,0.102109
1.456310,0.102252
1.463040,0.102358
1.469776,0.102419
1.476517,0.102448
1.483263,0.102470
1.490014,0.102508
1.496768,0.102589
1.503526,0.102741
1.510287,0.102972
1.517050,0.103241
1.523816,0.103468
1.530583,0.103584
1.537351,0.103552
1.544120,0.103360
1.550890,0.103002
1.557660,0.102476
1.564429,0.101809
1.571197,0.101067
1.577965,0.100359
1.584730,0.099787
1.591494,0.099386
1.598256,0.099108
1.605015,0.098869
1.611771,0.098605
1.618524,0.098282
1.625274,0.097880
1.632019,0.097406
1.638761,0.096923
1.645498,0.096501
1.652230,0.096140
1.658957,0.095757
1.665679,0.095292
1.672396,0.094788
1.679106,0.094370
1.685811,0.094123
1.692509,0.094006
1.699201,0.093890
1.705886,0.093660
1.712564,0.093272
1.719235,0.092755
1.725899,0.092202
1.732555,0.091746
1.739204,0.091497
1.745844,0.091463
1.752476,0.091540
1.759100,0.091588
1.765716,0.091514
1.772323,0.091300
1.778921,0.090970
1.785511,0.090541
1.792091,0.090003
1.798662,0.089338
1.805224,0.088574
1.811776,0.087802
1.818319,0.087141
1.824852,0.086648
1.831376,0.086280
1.837889,0.085926
1.844393,0.085489
1.850886,0.084917
1.857369,0.084213
1.863842,0.083444
1.870305,0.082742
1.876757,0.082246
1.883198,0.082013
1.889629,0.081996
1.896049,0.082090
1.902459,0.082192
1.908858,0.082219
1.915245,0.082107
1.921622,0.081827
1.927988,0.081407
1.934343,0.080945
1.940687,0.080584
1.947020,0.080436
1.953341,0.080506
1.959652,0.080690
1.965951,0.080859
1.972239,0.080951
1.978516,0.080983
1.984781,0.080999
1.991035,0.081023
1.997277,0.081051
2.003509,0.081055
2.009728,0.081005
2.015937,0.080888
2.022134,0.080720
2.028319,0.080539
2.034493,0.080378
2.040656,0.080239
2.046807,0.080097
2.052946,0.079923
2.059074,0.079713
2.065191,0.079481
2.071296,0.079236
2.077389,0.078976
2.083471,0.078699
2.089542,0.078413
2.095601,0.078131
2.101649,0.077854
2.107685,0.077569
2.113710,0.077268
2.119723,0.076957
2.125725,0.076650
2.131715,0.076341
2.137694,0.076002
2.143661,0.075593
2.149618,0.075088
2.155562,0.074515
2.161496,0.073965
2.167418,0.073549
2.173329,0.073321
2.179228,0.073239
2.185117,0.073210
2.190994,0.073151
2.196859,0.073032
2.202714,0.072867
2.208557,0.072690
2.214390,0.072527
2.220211,0.072379
2.226021,0.072235
2.231820,0.072084
2.237608,0.071927
2.243384,0.071773
2.249150,0.071632
2.254905,0.071513
2.260649,0.071417
2.266382,0.071334
2.272104,0.071247
2.277816,0.071144
2.283516,0.071027
2.289206,0.070911
2.294885,0.070810
2.300553,0.070722
2.306210,0.070621
2.311857,0.070483
2.317493,0.070305
2.323119,0.070118
2.328734,0.069954
2.334339,0.069811
2.339933,0.069655
2.345516,0.069453
2.351089,0.069199
2.356652,0.068921
2.362204,0.068633
2.367746,0.068325
2.373278,0.067985
2.378799,0.067625
2.384310,0.067282
2.389811,0.066982
2.395302,0.066708
2.400783,0.066415
2.406254,0.066069
2.411714,0.065686
2.417165,0.065311
2.422605,0.064981
2.428036,0.064687
2.433456,0.064395
2.438867,0.064078
2.444268,0.063743
2.449659,0.063425
2.455041,0.063156
2.460412,0.062930
2.465774,0.062714
2.471126,0.062480
2.476469,0.062236
2.481802,0.062018
2.487126,0.061854
2.492440,0.061734
2.497744,0.061620
2.503039,0.061480
2.508325,0.061312
2.513601,0.061133
2.518868,0.060956
2.524125,0.060770
2.529373,0.060557
2.534612,0.060310
2.539842,0.060047
2.545063,0.059796
2.550274,0.059576
2.555476,0.059393
2.560670,0.059236
2.565854,0.059090
2.571029,0.058935
2.576195,0.058766
2.581353,0.058602
2.586501,0.058472
2.591641,0.058396
2.596771,0.058352
2.601893,0.058294
2.607007,0.058168
2.612111,0.057961
2.617207,0.057713
2.622294,0.057515
2.627372,0.057447
2.632442,0.057521
2.637503,0.057680
2.642556,0.057843
2.647600,0.057961
2.652636,0.058023
2.657663,0.058048
2.662682,0.058069
2.667693,0.058112
2.672695,0.058180
2.677689,0.058253
2.682675,0.058300
2.687652,0.058305
2.692621,0.058266
2.697582,0.058191
2.702535,0.058091
2.707480,0.057973
2.712417,0.057843
2.717346,0.057704
2.722266,0.057560
2.727179,0.057412
2.732084,0.057258
2.736980,0.057089
2.741869,0.056897
2.746750,0.056676
2.751623,0.056437
2.756489,0.056207
2.761346,0.056014
2.766196,0.055868
2.771038,0.055757
2.775873,0.055660
2.780700,0.055567
2.785519,0.055470
2.790330,0.055366
2.795134,0.055253
2.799931,0.055131
2.804720,0.055008
2.809501,0.054888
2.814275,0.054774
2.819042,0.054667
2.823801,0.054565
2.828553,0.054466
2.833297,0.054371
2.838034,0.054280
2.842764,0.054197
2.847487,0.054121
2.852202,0.054044
2.856911,0.053954
2.861612,0.053849
2.866305,0.053744
2.870992,0.053666
2.875672,0.053637
2.880344,0.053651
2.885010,0.053683
2.889669,0.053705
2.894320,0.053704
2.898965,0.053678
2.903602,0.053633
2.908233,0.053569
2.912857,0.053486
2.917474,0.053390
2.922084,0.053288
2.926688,0.053191
2.931284,0.053100
2.935874,0.053011
2.940457,0.052920
2.945033,0.052829
2.949603,0.052742
2.954166,0.052661
2.958723,0.052582
2.963272,0.052499
2.967816,0.052407
2.972352,0.052304
2.976882,0.052191
2.981406,0.052072
2.985923,0.051949
2.990434,0.051828
2.994938,0.051718
2.999436,0.051626
3.003927,0.051549
3.008412,0.051479
3.012891,0.051401
3.017363,0.051303
3.021829,0.051177
3.026289,0.051022
3.030743,0.050856
3.035190,0.050714
3.039631,0.050634
3.044066,0.050629
3.048495,0.050671
3.052917,0.050718
3.057334,0.050743
3.061744,0.050744
3.066149,0.050736
3.070547,0.050729
3.074939,0.050725
3.079325,0.050722
3.083705,0.050722
3.088080,0.050728
3.092448,0.050739
3.096810,0.050752
3.101167,0.050758
3.105517,0.050754
3.109862,0.050751
3.114201,0.050774
3.118534,0.050846
3.122861,0.050965
3.127182,0.051106
3.131498,0.051241
3.135808,0.051353
3.140112,0.051438
3.144410,0.051505
3.148703,0.051571
3.152990,0.051648
3.157272,0.051737
3.161548,0.051832
3.165818,0.051924
3.170082,0.052014
3.174342,0.052100
3.178595,0.052180
3.182843,0.052243
3.187086,0.052283
3.191323,0.052293
3.195554,0.052277
3.199780,0.052245
3.204001,0.052207
3.208216,0.052166
3.212426,0.052124
3.216630,0.052079
3.220829,0.052035
3.225023,0.051992
3.229211,0.051948
